Max,Min,WL,Mean,RMS,Var,WAMP,SSC,Log,MaxF,MinF,WLF,MeanF,RMSF,VarF,WAMPF,SSCF,LogF,class
34,1,248,12.27,202.53,52.502132,1,7,7.1123276,827.3358,0.3456306,2685.1377,27.828424,8353.852,7655.9907,1,19,7.931228,2
38,1,276,22.19,559.19,67.468575,0,11,7.704812,731.874,0.8797951,3544.7378,36.627186,7515.0825,6235.8906,3,55,8.205961,2
37,1,258,18.18,396.1,66.2501,0,11,7.505492,318.20605,0.7232277,2242.8804,24.471064,1827.516,1241.094,3,66,7.8026614,2
18,1,186,8.03,77.41,13.059696,2,11,6.6883545,222.74423,0.031421095,1056.7013,12.646184,687.983,533.3909,1,29,7.1425257,2
34,1,272,17.09,355.91,64.48677,0,11,7.4436636,540.9503,0.37734056,2620.2476,27.496319,4285.552,3565.1553,4,49,7.9192224,2
23,1,217,11.38,158.16,28.945042,2,13,7.037028,381.84732,0.37734056,1636.978,17.57937,1826.3154,1532.6073,1,43,7.471896,2
32,1,217,12.11,188.85,42.62414,2,11,7.0992017,890.9769,0.15710577,2971.1252,29.6638,10051.085,9263.781,3,18,7.9950976,2
26,1,272,15.85,284.91,34.027794,2,24,7.3683395,604.5916,0.5345621,2606.9893,29.83197,5759.9346,4919.1797,2,36,8.000751,2
42,1,320,21.77,545.09,71.87585,0,18,7.6857033,763.69464,0.8804564,3581.8936,36.49733,8139.1436,6875.8467,3,47,8.20241,2
41,1,291,20.69,498.51,71.14538,0,13,7.6348205,572.771,0.5974514,2730.3723,30.885204,4651.735,3735.191,3,57,8.035447,2
31,1,275,17.08,328.48,37.124844,0,16,7.4430785,255,0.5974514,2460.6292,26.11302,2286.927,1621.2493,6,61,7.8676043,2
36,2,253,15.82,302.66,52.916786,1,10,7.366445,604.5916,0.5027375,2760.652,30.663826,5961.561,5072.0103,4,36,8.028254,2
33,1,239,17.07,348.99,58.186966,0,7,7.4424925,509.12973,0.43989754,2736.1992,28.169643,4169.4717,3410.0435,4,45,7.943415,2
25,1,196,14.86,245.1,24.525661,0,11,7.303843,636.4121,0.53416157,2562.304,27.939653,5793.8027,5063.817,2,34,7.935217,2
28,1,211,15.51,270.87,30.616066,1,6,7.3466554,509.12973,0.62889975,2148.2048,24.59976,3245.661,2667.1846,1,46,7.807907,2
25,1,238,11.36,158.02,29.263023,2,16,7.035269,286.3855,0.5027375,1620.2482,18.461761,1770.8331,1444.4406,2,42,7.5208716,2
22,1,199,11.97,162.65,19.564735,1,9,7.0875735,350.02667,0.3770535,1732.3596,20.229193,2052.7961,1660.1777,2,36,7.612297,2
18,1,185,6.98,65.16,16.60566,3,9,6.548219,445.48846,0.158374,1658.825,16.47888,2517.566,2268.6995,1,23,7.40725,2
21,1,212,12.22,175.36,26.294546,3,15,7.108244,222.74423,0.5027375,1342.0232,16.283497,850.5045,591.265,3,46,7.3953223,2
21,1,186,9.43,113.81,25.13646,0,13,6.8490663,306,0.31444988,1533.4597,19.153154,2310.311,1963.0974,3,28,7.5576377,2
24,1,194,11.9,159.78,18.353539,1,11,7.0817084,381.84732,0.3458924,1767.1011,20.036396,2032.3799,1647.3966,1,45,7.6027207,2
17,1,180,7.26,66.42,13.850909,4,12,6.58755,159.10303,0.28278896,1076.5818,11.362937,474.88773,349.26404,5,36,7.035527,2
21,1,224,7.89,81.55,19.49283,2,12,6.6707664,95.46153,0.2201141,1042.5807,11.115588,324.8798,203.35693,9,54,7.013519,2
22,1,220,7.57,78.91,21.823334,4,13,6.629363,222.74423,0.094263375,1345.6556,13.820204,925.96533,742.39124,5,27,7.231302,2
35,2,264,15.11,281.35,53.573643,1,13,7.320527,477.30914,0.18867028,2321.9856,26.387144,3522.3894,2854.654,3,36,7.878047,2
